domain,label
www313.paypal.ca.36903.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
neil.fraser.name/software/moobrowser/,0
secure.runescape.com.yywow.asia/m=weblogin/loginform.html?mod=www&amp;ssl=0&amp;dest,1
cmc.uib.no/moo/docs/shorter/quick-prog-ref.txt,0
www179.paypal.ca.92651.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
vmoo.com/support/moo/,0
monroevillechamber.com/kiosk/keyboard.ASP,1
www.fringenet.net/MOO/,0
www443.paypal.ca.17069.securessl-130.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.xythian.com/moo/dbbackup.html,0
www839.paypal.ca.51125.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.mars.org/home/rob/docs/lmdb.html,0
www213.paypal.ca.91514.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP213,1
cmc.uib.no/moo/yib/index.html,0
www857.paypal.ca.29073.securessl-810.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
ben.com/MOO/waif.html,0
www845.paypal.ca.20250.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_80B4287338BB9D106220,1
www.chrisunkel.com/WinMOO/,0
www829.paypal.ca.35935.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.rohonline.net/source/,0
www045.paypal.ca.21670.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
code.google.com/p/evennia/,0
www404.paypal.ca.36511.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
homepages.uc.edu/~hollisgf/nakedmud.html,0
www518.paypal.ca.79780.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.cs.brown.edu/people/car/muf/,0
www980.paypal.ca.23331.securessl-180.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.armory.com/~mortoj/mufman530.html,0
www310.paypal.ca.93687.securessl-170.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.belfry.com/fuzzball/mpihelp.html,0
www082.paypal.ca.58519.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP082,1
www.rdwarf.com/mink/downloads/,0
www617.paypal.ca.53101.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_96AACC48016EC232C93B,1
pages.cs.wisc.edu/~bolo/shipyard/,0
www377.paypal.ca.40311.securessl-130.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_6B51947702F46D8EF22B,1
triggur.org/furry/muf/,0
www348.paypal.ca.61471.securessl-170.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.belfry.com/fuzzball/,0
sarah.locadados.com.br/~revendar/index.php,1
hectorboy.tripod.com/muf/,0
